create table big_test(attr1 Integer primarykey, attr2 Double, attr3 integer, attr4 varchar(50));
insert into big_test values(22, 4.62, 58, "bqgsbfzcgdkxgjutpgyjuqnwqnmmfmrlzlluutlooiuxxciggy");
insert into big_test values(23, 4.812, 2440, "bptyhllyxjyjufsvydemuurpwrbeujnsyvbncqsnoacvuexgnk");
insert into big_test values(24, 8.544, 889, "ewauusfcnxkzdfvrsuhstlxnjcrnfdyrpjsaojhzussekkmkvs");
insert into big_test values(25, 0.346, 4376, "ogpesyrhkenwgrzcitwhlpsiechsrjgycqqdmsnbjnvxgjndaa");
insert into big_test values(26, 2.646, 3821, "gmjyqfoommhbedqgontdzaipvgsrnqkzjpgqmdzwkwfivozvis");
insert into big_test values(27, 8.552, 4037, "ekjbnfacqpsvcdzenlwkzqmozuiyhptzkcvjmlvgkwnhccbzsc");
insert into big_test values(28, 0.416, 1076, "orlkedrvykspxvpmiqqzfyrwuewputrzgiddnjjrrskdfaxdvn");
insert into big_test values(29, 7.662, 3282, "tmweoawfwsumyawflpcdzzoghpkvlsfuvbtyhdpxtzenrhhjuj");
insert into big_test values(30, 8.088, 2178, "hmznebdgiuazmszqyrmrjmufcctysxpadprlqhfzvcfldzcfsr");
insert into big_test values(31, 1.726, 1238, "aolsbdktxorypkgdncgwmqndbqeddylqgqtyzyfducjcvgxupm");
insert into big_test values(32, 2.146, 2498, "sjigiktaehgfomdbugkgbcociobxzvbnoihuhfxcnkbqccdpib");
insert into big_test values(33, 3.43, 1976, "nybonzfhdqkqazqmeaykhlcsgxgnwmodlbrlxgomrgawnkgpuv");
insert into big_test values(34, 6.13, 3316, "gwnmnswdjxtngqhaeczfcwpgnaiipiuznnckmtrrxuhinpzfmj");
insert into big_test values(35, 5.698, 725, "honufmmdvmunpfxngjzyaatmfozhxhyavvryayzhdlxxjtfeow");
insert into big_test values(36, 3.282, 422, "bojcowuxwrzhkjurpgectcxwxymlfqntoryjvwpghgzicerfhs");
insert into big_test values(37, 2.476, 1845, "bdctpqswviumxhgxtlegkgwziirrxsouigqvvlpstaoaqydfoc");
insert into big_test values(38, 7.952, 4362, "pwvocxjsyevuittmkzwgiumwxgllvisomsqxofvzvhqqeqiepc");
insert into big_test values(39, 3.394, 3026, "bmqnkubwrowzeqzjdmibvdwkslbqplseygkgcuneqzrdujcqhe");
insert into big_test values(40, 1.896, 109, "xtiisaarzmylyccykpnzqjljmsyplzbujflhiwoicvuiosvatl");
insert into big_test values(41, 7.066, 3700, "aafjxdapyreuuprfqnjdzfdulfjanlcqmixjvjymkugvmawoxu");
insert into big_test values(42, 5.098, 3432, "wypxbkjyoazrzrwiypefubfticorfriwcufkfrsvlncvbsovta");
insert into big_test values(43, 6.884, 2500, "idbbvpsibegkqcfesoryosxxmrebenepcjqleqorykeqfngzbg");
insert into big_test values(44, 5.346, 167, "upbngsjcxugcwzqxslhiwevencrzienmobqvcnmhfdxynzcixx");
insert into big_test values(45, 0.174, 2923, "ouvqqfueqnzfixzjyysxxssbhkopmfgaqcaoxylozrfrwccdjl");
insert into big_test values(46, 3.06, 529, "dycjffxvblwnuzogspadvvuxiodlsuxkqxakuklmgkyuddwcwe");
insert into big_test values(47, 8.454, 2195, "hsxquvqkzvmvpkwwxxhadyrfyplisqhtkwyprrgkshzmwohjrf");
insert into big_test values(48, 3.082, 656, "fboswymxdzofndbuyfhimtdehnpzgofpkxbfharegoqfgzbfsq");
insert into big_test values(49, 2.506, 442, "azycnufumcpqlwefcnfdgcoohglkoxosjzbfkiaqoprpzixmpj");
insert into big_test values(50, 4.322, 1353, "ckvgmknwlytpnhoyhgitnovhidiszlvzkrnfrpswntzacmduof");
insert into big_test values(51, 9.72, 950, "hdhdjejgguytmpxvekhfpxmbzlwroadzpwjfxwkxvuudwusgib");
insert into big_test values(52, 0.816, 3416, "cmyiqiqevcorwwiubrrkhjjizpvgldfabffuagimjmzdblyici");
insert into big_test values(53, 7.162, 767, "dleaosffmtyzjeruvwqhjvpaljfmrvasltaecmmdxhniwacyna");
insert into big_test values(54, 1.532, 3037, "wryejzmgmeqoyxszkdsxegxoewrlcfnowhaaxqectwfvhgjfuo");
insert into big_test values(55, 6.398, 201, "yjnvqevgkubbweoeoorecjdaqjimeesrcmyforoavlfehtscfl");
insert into big_test values(56, 9.026, 1023, "gkseoknyahvkxvcmomueziaqtymvtcitrtjifnleuraetbvvdh");
insert into big_test values(57, 0.044, 3202, "hwcefyddgficiuuxuhgzthgfyphyeeoabipmcffptinvpsjmbd");
insert into big_test values(58, 8.716, 1791, "xrnvrduodwduruphwxmfxafgqplifcldcbkzxtizkasrmxpkgo");
insert into big_test values(59, 7.428, 2866, "vgoivwwbojewumvtvwourqdtitrmvbluonvuvdjxucuxxpxvwu");
insert into big_test values(60, 7.704, 4404, "kqkhtipkopdwjtfmlieygweyfxbfueihcgfqipgwrorxheaalb");
insert into big_test values(61, 7.79, 2326, "pjngljhsaoyzjuyyepxqpgbeqgcfzserecytccdallrgyrvtvd");
insert into big_test values(62, 9.148, 4844, "qgtqwltokymteeccwyfwgnqyteqbyslevtwqhwesxmawfwcpme");
insert into big_test values(63, 2.472, 4841, "otfalxgdnoysxotwdofuoglrybotdyjpznhcdkiokqbmiwugak");
insert into big_test values(64, 5.588, 1724, "fhbucjwidpeixrnyidduhtbmgacdznkojkuggbzhtcdwthzsgr");
insert into big_test values(65, 8.026, 3407, "chkhlbxkgjutnaxfzhktbtulqznrrcutnbtajpnjiirwyckuxj");
insert into big_test values(66, 1.546, 1647, "jydsovlriovragsowinwwxefhkdggaghuplvfjobwoiskdebsi");
insert into big_test values(67, 9.308, 4945, "ifmxlxvwrigjxcmjpndritomqjaltsigmzzvcxiytbkgjkuplh");
insert into big_test values(68, 5.178, 4060, "vmsbdlgtwwlotavkavfghwvmcxvngiedshayfbmrzrparrhwoe");
insert into big_test values(69, 5.558, 4018, "ibtlerrlvuxojjficvkkuxwhftuqrueqbsbqlqhetzuoafxqbi");
insert into big_test values(70, 6.738, 1969, "ffsobhxvjxnctaehqvvprtuakovzlurhdckbxiougeinoafzpc");
insert into big_test values(71, 2.462, 3384, "amrzewpmahkfavefqhbmrupmvgxfdoljhpbsxczoeenscffuff");
insert into big_test values(72, 7.52, 3330, "vksvtpkvhlhalvsvpzjymmhkmbflsirahuvxxzyzwucfkjgnqm");
insert into big_test values(73, 7.662, 3267, "epghhrlubrkabeobzddpegeiytrrmtnlzzzwylqrifzptvpaor");
insert into big_test values(74, 7.242, 1085, "qfxqclcqqglhqkxeooxfavgmpgmjneukuxljugufzascvnimmy");
insert into big_test values(75, 3.33, 2361, "jhzjlmodkgchaqfdezfuckdekcybtpmunbpuedelriddmrfpta");
insert into big_test values(76, 3.942, 276, "epcextfrmgeptcvozugwkubqojnoeescdvutvfboloiaiizbme");
insert into big_test values(77, 6.158, 1454, "dfrvjyieyhhsbypnzdyajgrqqwohhoujlnmtgoowvgkjcbegww");
insert into big_test values(78, 8.422, 1849, "gsackzidwbzzblsejgfhrkxuosplzcsyhghpayroyvlmynhgvn");
insert into big_test values(79, 3.164, 2180, "iqsnttmkcggnxdmoyeajwyegawqwvpbkcczblvuibrsgxaeami");
insert into big_test values(80, 2.868, 1146, "porgipaymhmniorwbepcygznrlekkqrgoezvghnxogdxsuhovs");
insert into big_test values(81, 5.132, 212, "dzmhvpvurazkqhtbnpmwniqfpkeqeyywyvopksmuudvwzaybam");
insert into big_test values(82, 0.418, 25, "dzdpepohnzcaipkywkgkyqsujqmarhpvabhixdxexaajjswvor");
insert into big_test values(83, 7.034, 4589, "wjjnhhipqidldofqslempgjlvabayymwleyphmqdxbfaeicxqe");
insert into big_test values(84, 0.074, 3577, "mpuuespbmbbhfolwcfmpnlfuqdgiituyvkhaohtciuficohobi");
insert into big_test values(85, 9.194, 1261, "oniupdpdzfpxlbhcosgykuomnympdxvwodevaqibqszapcialm");
insert into big_test values(86, 9.822, 3658, "lceoepvvswruiifpyfqddojqnbooxuovovwbmgyiuxmcoptxic");
insert into big_test values(87, 3.27, 3413, "hpcxpxeeoulwgcxfhnllyhucbptdydpywjmolppwglyriefzfq");
insert into big_test values(88, 2.844, 1659, "afyznlerciuqruejvuzvcgvuxjashzkwvybqnbhabxsruiwrzq");
insert into big_test values(89, 3.222, 465, "vtebrjnbzstawwipiosbhnpblyngdnkcwnpzagakluxvkrayzj");
insert into big_test values(90, 9.812, 1498, "itydirkysbtuvwcehxcghjbjygzhwovmgcwiflujaykbddfcfc");
insert into big_test values(91, 4.772, 1623, "ydovebmgipticekynahdhwebonpfpuddzoihihedstcvgzeifx");
insert into big_test values(92, 4.33, 4989, "wghycnalewrpukwesgrcnwvkkqmhuzwuxotkubuqjidwhhzvrl");
insert into big_test values(93, 1.628, 3894, "ynanwpavabccsesmkeztnsqzmthudiulsleqjxahsuvxwhtmli");
insert into big_test values(94, 8.696, 394, "bxosykwyxajmncwfveqpayyugiwoxoivjjnphcsrftuoyckuec");
insert into big_test values(95, 4.104, 3895, "tyegxmbutlybuhczdddvzbiuzzwsynjmxtmzfjmlbmpsjdwqxs");
insert into big_test values(96, 6.746, 326, "inhzwvkmtxvrupztgjcglnxacodyivvgknvlcfhxdklnwolinp");
insert into big_test values(97, 7.034, 1636, "otrkmnpgprkerroctuukydcsvawfafflbrwqampdnnvvksaajv");
insert into big_test values(98, 5.802, 1352, "tinwqkjrmjecvkpgsuroifmjzyduyrpqvmqjqykuetbcarcgei");
insert into big_test values(99, 0.98, 346, "nuifzqwhqkaylzdgaomhklzqouayhwklzhyudqyimyfbepavik");
